x,y,yaw,curvature
-1.744607,5.072568,-2.407504,0.582864
-1.755657,5.062511,-2.398928,0.565206
-1.766652,5.052332,-2.390589,0.547912
-1.777592,5.042036,-2.382485,0.530980
-1.788480,5.031624,-2.374612,0.514404
-1.799314,5.021101,-2.366965,0.498180
-1.810096,5.010470,-2.359543,0.482300
-1.820827,4.999733,-2.352340,0.466759
-1.831507,4.988894,-2.345354,0.451548
-1.842137,4.977957,-2.338581,0.436659
-1.852717,4.966925,-2.332018,0.422084
-1.863249,4.955800,-2.325662,0.407814
-1.873733,4.944587,-2.319509,0.393838
-1.884169,4.933287,-2.313557,0.380149
-1.894559,4.921906,-2.307802,0.366735
-1.904902,4.910445,-2.302242,0.353587
-1.915200,4.898909,-2.296874,0.340694
-1.925454,4.887299,-2.291696,0.328045
-1.935664,4.875621,-2.286704,0.315631
-1.945830,4.863876,-2.281896,0.303440
-1.955954,4.852068,-2.277270,0.291463
-1.966036,4.840201,-2.272823,0.279687
-1.976076,4.828277,-2.268554,0.268102
-1.986077,4.816301,-2.264460,0.256698
-1.996037,4.804274,-2.260539,0.245463
-2.005958,4.792200,-2.256790,0.234387
-2.015840,4.780084,-2.253211,0.223458
-2.025685,4.767927,-2.249800,0.212666
-2.035493,4.755733,-2.246556,0.201999
-2.045264,4.743506,-2.243477,0.191446
-2.055000,4.731248,-2.240562,0.180997
-2.064700,4.718963,-2.237810,0.170641
-2.074366,4.706654,-2.235220,0.160365
-2.083998,4.694324,-2.232791,0.150159
-2.093598,4.681977,-2.230522,0.140011
-2.103165,4.669616,-2.228412,0.129910
-2.112700,4.657244,-2.226461,0.119844
-2.122204,4.644865,-2.224669,0.109802
-2.131678,4.632480,-2.223036,0.099771
-2.141123,4.620095,-2.221560,0.089740
-2.150538,4.607712,-2.220199,0.089076
-2.159924,4.595332,-2.218769,0.094998
-2.169280,4.582954,-2.217249,0.100964
-2.178603,4.570578,-2.215638,0.106975
-2.187894,4.558203,-2.213936,0.113032
-2.197150,4.545829,-2.212142,0.119136
-2.206371,4.533455,-2.210256,0.125287
-2.215556,4.521080,-2.208278,0.131487
-2.224702,4.508704,-2.206206,0.137736
-2.233809,4.496327,-2.204041,0.144035
-2.242876,4.483947,-2.201782,0.150384
-2.251902,4.471563,-2.199429,0.156785
-2.260884,4.459176,-2.196981,0.163238
-2.269823,4.446785,-2.194437,0.169743
-2.278716,4.434389,-2.191797,0.176301
-2.287563,4.421987,-2.189061,0.182913
-2.296362,4.409580,-2.186229,0.189579
-2.305113,4.397165,-2.183298,0.196298
-2.313813,4.384743,-2.180270,0.203073
-2.322462,4.372314,-2.177143,0.209902
-2.331058,4.359875,-2.173918,0.216785
-2.339601,4.347428,-2.170592,0.223724
-2.348089,4.334970,-2.167167,0.230717
-2.356520,4.322503,-2.163642,0.237764
-2.364894,4.310024,-2.160015,0.244866
-2.373209,4.297534,-2.156288,0.252021
-2.381465,4.285031,-2.152458,0.259229
-2.389660,4.272515,-2.148526,0.266490
-2.397792,4.259986,-2.144491,0.273803
-2.405860,4.247443,-2.140352,0.281167
-2.413864,4.234886,-2.136110,0.288581
-2.421802,4.222313,-2.131764,0.296043
-2.429673,4.209724,-2.127313,0.303552
-2.437475,4.197118,-2.122757,0.311107
-2.445208,4.184495,-2.118095,0.318706
-2.452870,4.171855,-2.113328,0.326348
-2.460460,4.159196,-2.108454,0.334029
-2.467977,4.146518,-2.103474,0.341749
-2.475419,4.133821,-2.098388,0.349503
-2.482785,4.121103,-2.093194,0.357291
-2.490074,4.108365,-2.087893,0.365109
-2.497286,4.095605,-2.082484,0.372954
-2.504418,4.082823,-2.076967,0.380822
-2.511469,4.070018,-2.071343,0.388711
-2.518438,4.057190,-2.065611,0.396616
-2.525325,4.044339,-2.059770,0.404534
-2.532127,4.031462,-2.053821,0.412459
-2.538844,4.018561,-2.047764,0.420389
-2.545474,4.005634,-2.041599,0.428318
-2.552016,3.992680,-2.035326,0.436242
-2.558469,3.979700,-2.028945,0.444154
-2.564831,3.966692,-2.022456,0.452050
-2.571102,3.953656,-2.015860,0.459925
-2.577281,3.940591,-2.009156,0.467771
-2.583365,3.927497,-2.002346,0.475583
-2.589354,3.914372,-1.995429,0.483355
-2.595246,3.901217,-1.988406,0.491080
-2.601041,3.888031,-1.981277,0.498750
-2.606737,3.874813,-1.974044,0.506360
-2.612333,3.861562,-1.966706,0.513901
-2.617827,3.848279,-1.959265,0.521366
-2.623219,3.834962,-1.951721,0.528748
-2.628507,3.821610,-1.944076,0.536038
-2.633690,3.808223,-1.936329,0.543228
-2.638767,3.794801,-1.928483,0.550310
-2.643737,3.781343,-1.920538,0.557276
-2.648598,3.767848,-1.912495,0.564117
-2.653348,3.754316,-1.904356,0.570824
-2.657988,3.740745,-1.896122,0.577389
-2.662516,3.727137,-1.887795,0.583803
-2.666930,3.713488,-1.879376,0.590058
-2.671229,3.699801,-1.870866,0.596144
-2.675412,3.686072,-1.862268,0.602052
-2.679478,3.672303,-1.853583,0.607774
-2.683426,3.658492,-1.844813,0.613301
-2.687254,3.644638,-1.835959,0.618625
-2.690961,3.630742,-1.827025,0.623736
-2.694546,3.616802,-1.818012,0.628628
-2.698008,3.602819,-1.808987,0.623079
-2.701348,3.588792,-1.800053,0.616015
-2.704565,3.574723,-1.791214,0.608971
-2.707662,3.560612,-1.782467,0.601953
-2.710639,3.546461,-1.773813,0.594964
-2.713496,3.532272,-1.765251,0.588011
-2.716236,3.518043,-1.756781,0.581097
-2.718858,3.503778,-1.748403,0.574226
-2.721364,3.489476,-1.740115,0.567403
-2.723754,3.475140,-1.731917,0.560631
-2.726030,3.460769,-1.723809,0.553913
-2.728192,3.446365,-1.715790,0.547253
-2.730241,3.431929,-1.707859,0.540654
-2.732179,3.417462,-1.700015,0.534119
-2.734005,3.402965,-1.692258,0.527649
-2.735722,3.388439,-1.684587,0.521248
-2.737329,3.373884,-1.677000,0.514917
-2.738828,3.359303,-1.669499,0.508658
-2.740220,3.344696,-1.662080,0.502474
-2.741505,3.330064,-1.654745,0.496365
-2.742685,3.315408,-1.647491,0.490333
-2.743760,3.300728,-1.640318,0.484380
-2.744731,3.286027,-1.633225,0.478506
-2.745599,3.271306,-1.626211,0.472712
-2.746366,3.256564,-1.619275,0.467000
-2.747031,3.241803,-1.612417,0.461370
-2.747596,3.227025,-1.605634,0.455823
-2.748062,3.212229,-1.598928,0.450358
-2.748429,3.197418,-1.592295,0.444977
-2.748699,3.182592,-1.585736,0.439680
-2.748873,3.167753,-1.579250,0.434466
-2.748951,3.152900,-1.572835,0.429337
-2.748934,3.138036,-1.566491,0.424291
-2.748823,3.123161,-1.560217,0.419330
-2.748619,3.108277,-1.554011,0.414452
-2.748323,3.093383,-1.547873,0.409659
-2.747936,3.078483,-1.541802,0.404948
-2.747459,3.063575,-1.535796,0.400321
-2.746893,3.048662,-1.529856,0.395776
-2.746238,3.033744,-1.523980,0.391314
-2.745495,3.018823,-1.518166,0.386934
-2.744666,3.003899,-1.512415,0.382636
-2.743751,2.988973,-1.506725,0.378418
-2.742751,2.974047,-1.501095,0.374281
-2.741667,2.959122,-1.495525,0.370223
-2.740500,2.944198,-1.490012,0.366245
-2.739251,2.929276,-1.484558,0.362346
-2.737920,2.914358,-1.479159,0.358525
-2.736510,2.899445,-1.473817,0.354781
-2.735020,2.884537,-1.468529,0.351114
-2.733451,2.869636,-1.463295,0.347524
-2.731804,2.854742,-1.458114,0.344008
-2.730081,2.839857,-1.452985,0.340568
-2.728282,2.824982,-1.447907,0.337202
-2.726408,2.810117,-1.442880,0.333909
-2.724460,2.795264,-1.437902,0.330689
-2.722439,2.780424,-1.432973,0.327542
-2.720346,2.765598,-1.428092,0.324466
-2.718181,2.750786,-1.423257,0.321461
-2.715946,2.735990,-1.418469,0.318526
-2.713641,2.721211,-1.413726,0.315661
-2.711267,2.706449,-1.409028,0.312864
-2.708826,2.691706,-1.404373,0.310137
-2.706318,2.676984,-1.399761,0.307477
-2.703744,2.662282,-1.395191,0.304884
-2.701105,2.647602,-1.390663,0.302358
-2.698402,2.632944,-1.386175,0.299899
-2.695635,2.618311,-1.381726,0.297505
-2.692807,2.603703,-1.377323,0.294024
-2.689916,2.589119,-1.372981,0.290168
-2.686966,2.574560,-1.368699,0.286263
-2.683955,2.560025,-1.364479,0.282310
-2.680887,2.545513,-1.360321,0.278311
-2.677760,2.531025,-1.356226,0.274269
-2.674577,2.516559,-1.352194,0.270183
-2.671338,2.502116,-1.348225,0.266057
-2.668045,2.487695,-1.344320,0.261891
-2.664698,2.473295,-1.340480,0.257688
-2.661297,2.458917,-1.336704,0.253448
-2.657845,2.444559,-1.332993,0.249174
-2.654342,2.430222,-1.329347,0.244866
-2.650789,2.415904,-1.325766,0.240526
-2.647187,2.401606,-1.322252,0.236156
-2.643537,2.387328,-1.318804,0.231757
-2.639840,2.373067,-1.315423,0.227330
-2.636096,2.358826,-1.312108,0.222876
-2.632308,2.344602,-1.308860,0.218397
-2.628475,2.330395,-1.305679,0.213895
-2.624598,2.316206,-1.302566,0.209370
-2.620680,2.302033,-1.299521,0.204823
-2.616719,2.287877,-1.296544,0.200255
-2.612719,2.273736,-1.293635,0.195669
-2.608679,2.259611,-1.290794,0.191064
-2.604600,2.245501,-1.288021,0.186441
-2.600484,2.231405,-1.285318,0.181803
-2.596331,2.217324,-1.282683,0.177149
-2.592142,2.203257,-1.280117,0.172481
-2.587918,2.189202,-1.277620,0.167799
-2.583661,2.175161,-1.275192,0.163105
-2.579371,2.161133,-1.272834,0.158399
-2.575048,2.147116,-1.270545,0.153682
-2.570695,2.133112,-1.268326,0.148954
-2.566312,2.119118,-1.266177,0.144217
-2.561900,2.105136,-1.264097,0.139471
-2.557460,2.091164,-1.262087,0.134717
-2.552992,2.077202,-1.260147,0.129956
-2.548499,2.063251,-1.258277,0.125188
-2.543980,2.049308,-1.256477,0.120413
-2.539436,2.035374,-1.254748,0.115632
-2.534870,2.021449,-1.253088,0.110847
-2.530281,2.007531,-1.251499,0.106056
-2.525670,1.993622,-1.249980,0.101261
-2.521039,1.979720,-1.248531,0.096463
-2.516389,1.965824,-1.247153,0.091661
-2.511720,1.951935,-1.245845,0.086856
-2.507033,1.938052,-1.244608,0.082049
-2.502330,1.924175,-1.243441,0.077239
-2.497610,1.910303,-1.242344,0.072428
-2.492876,1.896435,-1.241318,0.067615
-2.488129,1.882572,-1.240362,0.062801
-2.483368,1.868713,-1.239477,0.057986
-2.478595,1.854858,-1.238663,0.053171
-2.473812,1.841006,-1.237919,0.048355
-2.469018,1.827156,-1.237246,0.043540
-2.464215,1.813309,-1.236643,0.038724
-2.459404,1.799464,-1.236111,0.033910
-2.454586,1.785620,-1.235649,0.029096
-2.449762,1.771778,-1.235258,0.024283
-2.444932,1.757936,-1.234937,0.019471
-2.440098,1.744094,-1.234687,0.014661
-2.435261,1.730253,-1.234507,0.009853
-2.430422,1.716411,-1.234398,0.005046
-2.425580,1.702568,-1.234359,0.000242
-2.420739,1.688723,-1.234391,0.004560
-2.415897,1.674877,-1.234493,0.009360
-2.411058,1.661029,-1.234665,0.014157
-2.406220,1.647178,-1.234908,0.018951
-2.401386,1.633324,-1.235221,0.023741
-2.396556,1.619467,-1.235605,0.028529
-2.391731,1.605606,-1.236038,0.029130
-2.386911,1.591742,-1.236455,0.027742
-2.382097,1.577873,-1.236852,0.026355
-2.377287,1.564002,-1.237229,0.024970
-2.372482,1.550126,-1.237586,0.023586
-2.367681,1.536248,-1.237922,0.022204
-2.362884,1.522367,-1.238238,0.020822
-2.358091,1.508483,-1.238533,0.019441
-2.353302,1.494596,-1.238809,0.018062
-2.348515,1.480707,-1.239064,0.016683
-2.343732,1.466815,-1.239299,0.015306
-2.338952,1.452921,-1.239514,0.013929
-2.334174,1.439026,-1.239708,0.012553
-2.329398,1.425128,-1.239883,0.011177
-2.324624,1.411229,-1.240037,0.009802
-2.319852,1.397328,-1.240171,0.008428
-2.315081,1.383425,-1.240285,0.007055
-2.310312,1.369522,-1.240378,0.005682
-2.305543,1.355617,-1.240452,0.004309
-2.300775,1.341712,-1.240505,0.002937
-2.296008,1.327806,-1.240538,0.001565
-2.291241,1.313899,-1.240551,0.000193
-2.286473,1.299992,-1.240544,0.001179
-2.281706,1.286085,-1.240516,0.002550
-2.276937,1.272178,-1.240469,0.003921
-2.272168,1.258271,-1.240401,0.005293
-2.267398,1.244364,-1.240313,0.006664
-2.262626,1.230457,-1.240205,0.008035
-2.257853,1.216551,-1.240077,0.009407
-2.253078,1.202646,-1.239928,0.010779
-2.248300,1.188742,-1.239760,0.012151
-2.243521,1.174838,-1.239571,0.013524
-2.238738,1.160936,-1.239362,0.014897
